reporter_iso,partner_iso,trade_value_usd_exp
alb,alb,NA
aut,alb,63185655
bel,alb,29592296
bgr,alb,96610296
bih,alb,25081855
blr,alb,269100
che,alb,54670391
cze,alb,57962292
deu,alb,293847473
dnk,alb,20491595
esp,alb,109637790
est,alb,311198
fin,alb,2465718
fra,alb,55125001
gbr,alb,23241757
grc,alb,641070640
hrv,alb,89138049
hun,alb,98262583
irl,alb,10849143
isl,alb,97630
ita,alb,1514289296
srb,alb,158166004
ltu,alb,5460984
lux,alb,420417
lva,alb,2044720
mda,alb,378333
mkd,alb,81457331
mlt,alb,152532
mne,alb,14834822
nld,alb,88894431
nor,alb,4652034
pol,alb,72475738
prt,alb,8523982
rou,alb,106619148
rus,alb,98468461
srb,alb,158166004
svk,alb,31540333
svn,alb,57513088
swe,alb,10890951
ukr,alb,22753152
alb,aut,16292900
aut,aut,NA
bel,aut,2941721848
bgr,aut,611683115
bih,aut,623750138
blr,aut,20112900
che,aut,6392675496
cze,aut,8556543321
deu,aut,70988485915
dnk,aut,694737615
esp,aut,2636846499
est,aut,65302767
fin,aut,459323980
fra,aut,4507348625
gbr,aut,2379689070
grc,aut,326588651
hrv,aut,1008126062
hun,aut,5642630741
irl,aut,465624375
isl,aut,1616688
ita,aut,11254085060
srb,aut,634636290
ltu,aut,240716735
lux,aut,273150011
lva,aut,81942138
mda,aut,28410753
mkd,aut,68356134
mlt,aut,14142801
mne,aut,3448566
nld,aut,7013137066
nor,aut,324335526
pol,aut,5376834711
prt,aut,587837479
rou,aut,1700308231
rus,aut,3517105249
srb,aut,634636290
svk,aut,5062765058
svn,aut,2545583393
swe,aut,1526291852
ukr,aut,598319050
alb,bel,6866899
aut,bel,3147089449
bel,bel,NA
bgr,bel,952422895
bih,bel,44801027
blr,bel,174768600
che,bel,5474742671
cze,bel,4165647802
deu,bel,51634513126
dnk,bel,1861750635
esp,bel,9282704797
est,bel,300393120
fin,bel,2250160719
fra,bel,38344193120
gbr,bel,16477738926
grc,bel,536674892
hrv,bel,289342658
hun,bel,3043331304
irl,bel,17358578684
isl,bel,77439557
ita,bel,13879283597
srb,bel,215977456
ltu,bel,621354287
lux,bel,1770414965
lva,bel,168924395
mda,bel,2910253
mkd,bel,238291525
mlt,bel,6165897
mne,bel,843108
nld,bel,58276371210
nor,bel,4361003597
pol,bel,5924986838
prt,bel,1533894885
rou,bel,1382328045
rus,bel,6780633685
srb,bel,215977456
svk,bel,1206897236
svn,bel,466986433
swe,bel,6285853248
ukr,bel,680703945
alb,bgr,32100872
aut,bgr,909381602
bel,bgr,709805880
bgr,bgr,NA
bih,bgr,29865746
blr,bgr,33634900
che,bgr,431028739
cze,bgr,1039573395
deu,bgr,4400191628
dnk,bgr,109661541
esp,bgr,1486670036
est,bgr,43046555
fin,bgr,74952230
fra,bgr,1052751128
gbr,bgr,477420620
grc,bgr,1746440930
hrv,bgr,107604995
hun,bgr,1309444069
irl,bgr,180097928
isl,bgr,2040186
ita,bgr,2864068822
srb,bgr,647013055
ltu,bgr,109776840
lux,bgr,29151656
lva,bgr,52745948
mda,bgr,60126014
mkd,bgr,351454016
mlt,bgr,11971985
mne,bgr,1871240
nld,bgr,1238112865
nor,bgr,32868796
pol,bgr,1178794734
prt,bgr,129525798
rou,bgr,2716465030
rus,bgr,2690957731
srb,bgr,647013055
svk,bgr,587399444
svn,bgr,292569114
swe,bgr,159682881
ukr,bgr,482167606
alb,bih,19007668
aut,bih,498021981
bel,bih,66178587
bgr,bih,71339865
bih,bih,NA
blr,bih,10775700
che,bih,111116023
cze,bih,180142919
deu,bih,1004233118
dnk,bih,18565964
esp,bih,73729211
est,bih,868834
fin,bih,6703638
fra,bih,98200024
gbr,bih,33304134
grc,bih,72437221
hrv,bih,1705136548
hun,bih,426372717
irl,bih,17798467
isl,bih,4351300
ita,bih,776591027
srb,bih,1513855439
ltu,bih,6665030
lux,bih,1548463
lva,bih,3547204
mda,bih,1914695
mkd,bih,94047636
mlt,bih,133002
mne,bih,33390375
nld,bih,230415438
nor,bih,2584554
pol,bih,260530267
prt,bih,3243013
rou,bih,103135594
rus,bih,38078663
srb,bih,1513855439
svk,bih,120858098
svn,bih,881876712
swe,bih,28671899
ukr,bih,20936075
alb,blr,30336
aut,blr,141339456
bel,blr,165281884
bgr,blr,58303209
bih,blr,5174449
blr,blr,NA
che,blr,140243275
cze,blr,309904031
deu,blr,1693717614
dnk,blr,51088039
esp,blr,119281439
est,blr,64433203
fin,blr,83131157
fra,blr,173323950
gbr,blr,174043677
grc,blr,13864613
hrv,blr,18410404
hun,blr,115226958
irl,blr,6331378
isl,blr,28956605
ita,blr,448673701
srb,blr,58952943
ltu,blr,1282895785
lux,blr,4263879
lva,blr,214909821
mda,blr,73820599
mkd,blr,1888791
mlt,blr,3388
mne,blr,605
nld,blr,274684842
nor,blr,146575832
pol,blr,1805383407
prt,blr,16088552
rou,blr,31263419
rus,blr,21708324443
srb,blr,58952943
svk,blr,93225722
svn,blr,76729989
swe,blr,61318555
ukr,blr,1549834780
alb,che,8008901
aut,che,8603524919
bel,che,5140654534
bgr,che,216543496
bih,che,137140347
blr,che,22525700
che,che,NA
cze,che,3074123076
deu,che,64755167034
dnk,che,818266396
esp,che,5410184014
est,che,65923224
fin,che,659330980
fra,che,19909385652
gbr,che,15093270275
grc,che,172455529
hrv,che,227482275
hun,che,1220086183
irl,che,6190187880
isl,che,17428705
ita,che,26717162564
srb,che,166130648
ltu,che,172065377
lux,che,187945614
lva,che,50930285
mda,che,71391612
mkd,che,39968352
mlt,che,26471546
mne,che,7166815
nld,che,7818779035
nor,che,339520128
pol,che,2281546753
prt,che,697150936
rou,che,599284055
rus,che,3670289895
srb,che,166130648
svk,che,1333250817
svn,che,2549608946
swe,che,1796585863
ukr,che,127698314
alb,cze,36893629
aut,cze,6023589587
bel,cze,2894568720
bgr,cze,794324898
bih,cze,91985431
blr,cze,117643000
che,cze,1852734519
cze,cze,NA
deu,cze,49459742295
dnk,cze,610754743
esp,cze,2834563120
est,cze,96262812
fin,cze,386850921
fra,cze,5283117443
gbr,cze,2808672016
grc,cze,293654790
hrv,cze,263283909
hun,cze,5239907624
irl,cze,628636327
isl,cze,3425276
ita,cze,7149255144
srb,cze,651605904
ltu,cze,379805869
lux,cze,163757487
lva,cze,187703433
mda,cze,57963221
mkd,cze,62376731
mlt,cze,20963448
mne,cze,22009931
nld,cze,8874930751
nor,cze,235516127
pol,cze,15503205751
prt,cze,440063097
rou,cze,2424795775
rus,cze,4861001418
srb,cze,651605904
svk,cze,9898050686
svn,cze,814983147
swe,cze,1328735952
ukr,cze,920888845
alb,deu,121899471
aut,deu,50107808964
bel,deu,54770848453
bgr,deu,4935690173
bih,deu,958741872
blr,deu,1298099900
che,deu,47908720217
cze,deu,63526531285
deu,deu,NA
dnk,deu,15068679025
esp,deu,34767292629
est,deu,1005484203
fin,deu,10440897129
fra,deu,78210508847
gbr,deu,46352023475
grc,deu,2519378655
hrv,deu,2247531149
hun,deu,33827808495
irl,deu,15221003478
isl,deu,309285589
ita,deu,62193433964
srb,deu,2477478938
ltu,deu,2517203553
lux,deu,3726930161
lva,deu,1045695750
mda,deu,188640915
mkd,deu,3501400906
mlt,deu,553880786
mne,deu,17282627
nld,deu,128001845414
nor,deu,15056587679
pol,deu,69224851566
prt,deu,8040833171
rou,deu,17343318434
rus,deu,28049416972
srb,deu,2477478938
svk,deu,19789602382
svn,deu,7086586969
swe,deu,16426164012
ukr,deu,2382998598
alb,dnk,1039137
aut,dnk,837176685
bel,dnk,2175994376
bgr,dnk,197711834
bih,dnk,22563199
blr,dnk,31652200
che,dnk,1213437518
cze,dnk,2004450327
deu,dnk,21492641663
dnk,dnk,NA
esp,dnk,1978552961
est,dnk,499759228
fin,dnk,1106279278
fra,dnk,3453666093
gbr,dnk,3403004037
grc,dnk,214776474
hrv,dnk,62616988
hun,dnk,873502418
irl,dnk,740841613
isl,dnk,121857241
ita,dnk,3238276767
srb,dnk,61999124
ltu,dnk,806428401
lux,dnk,94194974
lva,dnk,619564183
mda,dnk,783034
mkd,dnk,8215947
mlt,dnk,5896238
mne,dnk,2038381
nld,dnk,6982576744
nor,dnk,4662757840
pol,dnk,4043878629
prt,dnk,515115762
rou,dnk,362294430
rus,dnk,3198662003
srb,dnk,61999124
svk,dnk,714388108
svn,dnk,367992443
swe,dnk,11066875937
ukr,dnk,254684332
alb,esp,217023283
aut,esp,2773092453
bel,esp,8387331260
bgr,esp,909670785
bih,esp,26865022
blr,esp,16553400
che,esp,7882393084
cze,esp,6400521575
deu,esp,49495535825
dnk,esp,1902338537
esp,esp,NA
est,esp,166082287
fin,esp,1232705883
fra,esp,41703081854
gbr,esp,13675878088
grc,esp,1235489797
hrv,esp,298647952
hun,esp,3554374348
irl,esp,2638468461
isl,esp,495357511
ita,esp,26591727101
srb,esp,245912058
ltu,esp,354485315
lux,esp,354697582
lva,esp,198952691
mda,esp,37465342
mkd,esp,110762557
mlt,esp,97348783
mne,esp,1318527
nld,esp,17507834610
nor,esp,2357279411
pol,esp,6536537408
prt,esp,16582014977
rou,esp,2350445554
rus,esp,2558514943
srb,esp,245912058
svk,esp,2534988448
svn,esp,651040833
swe,esp,3149897110
ukr,esp,1500800920
alb,est,11069172
aut,est,169161818
bel,est,315754545
bgr,est,28707049
bih,est,747292
blr,est,107160700
che,est,187204431
cze,est,397927407
deu,est,2032869997
dnk,est,271728568
esp,est,263778141
est,est,NA
fin,est,1943552237
fra,est,439209014
gbr,est,322305946
grc,est,36696931
hrv,est,10446172
hun,est,108876834
irl,est,21194076
isl,est,1113997
ita,est,534508017
srb,est,8441578
ltu,est,1696765859
lux,est,11261834
lva,est,1689464008
mda,est,2845401
mkd,est,1802467
mlt,est,222960
mne,est,2510
nld,est,956148249
nor,est,187850573
pol,est,1207684762
prt,est,34895942
rou,est,60879740
rus,est,2449475034
srb,est,8441578
svk,est,127228141
svn,est,77012654
swe,est,1340216737
ukr,est,139859521
alb,fin,725077
aut,fin,722486409
bel,fin,1560417476
bgr,fin,71696674
bih,fin,979989
blr,fin,25551000
che,fin,639054830
cze,fin,1051238285
deu,fin,12380020312
dnk,fin,1945730035
esp,fin,1005877263
est,fin,2419164646
fin,fin,NA
fra,fin,2149944618
gbr,fin,1664738322
grc,fin,188290742
hrv,fin,27015048
hun,fin,430467477
irl,fin,309923031
isl,fin,5583067
ita,fin,1892822403
srb,fin,23423917
ltu,fin,592354215
lux,fin,61762952
lva,fin,357772447
mda,fin,1036591
mkd,fin,16784419
mlt,fin,6073877
mne,fin,416983
nld,fin,5130297754
nor,fin,1469677020
pol,fin,2046694098
prt,fin,378649155
rou,fin,236201465
rus,fin,10070077899
srb,fin,23423917
svk,fin,280192983
svn,fin,104969232
swe,fin,11443674194
ukr,fin,46178516
alb,fra,40806468
aut,fra,7501370131
bel,fra,42632117979
bgr,fra,1261762951
bih,fra,151301394
blr,fra,110179800
che,fra,19385861147
cze,fra,10242845420
deu,fra,119249534776
dnk,fra,3225158576
esp,fra,49137874350
est,fra,319499757
fin,fra,2122207894
fra,fra,NA
gbr,fra,31361513929
grc,fra,1324786731
hrv,fra,485541841
hun,fra,5281012382
irl,fra,6094621486
isl,fra,370054047
ita,fra,53595605934
srb,fra,527645638
ltu,fra,833600408
lux,fra,2319840042
lva,fra,275800292
mda,fra,22661319
mkd,fra,64950960
mlt,fra,301283339
mne,fra,1621338
nld,fra,45054663421
nor,fra,6179485188
pol,fra,14630816127
prt,fra,8672149561
rou,fra,5330918327
rus,fra,6456446231
srb,fra,527645638
svk,fra,6285552099
svn,fra,2044517690
swe,fra,6342669984
ukr,fra,601082911
alb,gbr,6722803
aut,gbr,4944638174
bel,gbr,18937789587
bgr,gbr,783382858
bih,gbr,47658750
blr,gbr,2292721600
che,gbr,28312022642
cze,gbr,8990745019
deu,gbr,88405569861
dnk,gbr,6051215210
esp,gbr,22016843636
est,gbr,271606300
fin,gbr,2877361200
fra,gbr,38469021489
gbr,gbr,NA
grc,gbr,1370964419
hrv,gbr,269606501
hun,gbr,4025510627
irl,gbr,17655482080
isl,gbr,543630621
ita,gbr,27035616588
srb,gbr,364410148
ltu,gbr,1257644030
lux,gbr,503765164
lva,gbr,813139373
mda,gbr,17443531
mkd,gbr,160537024
mlt,gbr,61725073
mne,gbr,7162995
nld,gbr,44606954468
nor,gbr,20949492639
pol,gbr,15236621574
prt,gbr,4062653113
rou,gbr,2889192110
rus,gbr,13271651635
srb,gbr,364410148
svk,gbr,4378054676
svn,gbr,658653109
swe,gbr,8424226877
ukr,gbr,628234975
alb,grc,113247571
aut,grc,594783345
bel,grc,1242234283
bgr,grc,2246476315
bih,grc,10029945
blr,grc,4618700
che,grc,757377645
cze,grc,514593733
deu,grc,6803025056
dnk,grc,498554826
esp,grc,2774875178
est,grc,18211973
fin,grc,148730316
fra,grc,2743318660
gbr,grc,1305288314
grc,grc,NA
hrv,grc,129875389
hun,grc,564716988
irl,grc,941662474
isl,grc,4963674
ita,grc,5116233311
srb,grc,207555374
ltu,grc,57063879
lux,grc,24313296
lva,grc,24758227
mda,grc,39141732
mkd,grc,194612888
mlt,grc,25489327
mne,grc,2309390
nld,grc,2738720032
nor,grc,207198032
pol,grc,1048480678
prt,grc,257887395
rou,grc,957443564
rus,grc,3884656891
srb,grc,207555374
svk,grc,489901974
svn,grc,107980482
swe,grc,366931744
ukr,grc,274211219
alb,hrv,10180571
aut,hrv,1474651218
bel,hrv,378413934
bgr,hrv,165104943
bih,hrv,801688968
blr,hrv,13239100
che,hrv,291088684
cze,hrv,689805807
deu,hrv,4177019374
dnk,hrv,102443818
esp,hrv,592688134
est,hrv,6253404
fin,hrv,49114868
fra,hrv,661925990
gbr,hrv,267625814
grc,hrv,166118281
hrv,hrv,NA
hun,hrv,2065838930
irl,hrv,67781930
isl,hrv,352573
ita,hrv,4229144891
srb,hrv,636245097
ltu,hrv,57565906
lux,hrv,11104742
lva,hrv,14388953
mda,hrv,1079771
mkd,hrv,84489523
mlt,hrv,32170425
mne,hrv,3414015
nld,hrv,860859412
nor,hrv,54731076
pol,hrv,985850300
prt,hrv,63675698
rou,hrv,302601664
rus,hrv,1474144863
srb,hrv,636245097
svk,hrv,545150765
svn,hrv,3234241112
swe,hrv,121222944
ukr,hrv,37196153
alb,hun,22486865
aut,hun,6131346593
bel,hun,2006517157
bgr,hun,577527994
bih,hun,154383764
blr,hun,130642700
che,hun,1054848128
cze,hun,6495043435
deu,hun,30092938550
dnk,hun,507592096
esp,hun,2024299850
est,hun,44317451
fin,hun,280951637
fra,hun,4169881896
gbr,hun,1695573084
grc,hun,230562493
hrv,hun,705740712
hun,hun,NA
irl,hun,365593860
isl,hun,37003398
ita,hun,5410408406
srb,hun,830184027
ltu,hun,220866763
lux,hun,89399927
lva,hun,72308985
mda,hun,10598269
mkd,hun,182526347
mlt,hun,31745179
mne,hun,50297840
nld,hun,4813286268
nor,hun,85018091
pol,hun,6979330533
prt,hun,328424719
rou,hun,3723307224
rus,hun,4083214984
srb,hun,830184027
svk,hun,5766077298
svn,hun,1034646734
swe,hun,682795579
ukr,hun,1562808005
alb,irl,586203
aut,irl,383583130
bel,irl,2048698610
bgr,irl,93214513
bih,irl,669457
blr,irl,16052200
che,irl,1060100617
cze,irl,965693279
deu,irl,8938285565
dnk,irl,641570107
esp,irl,1856096291
est,irl,19510456
fin,irl,190844096
fra,irl,3766855537
gbr,irl,27795973776
grc,irl,165379012
hrv,irl,49684227
hun,irl,305083429
irl,irl,NA
isl,irl,18005457
ita,irl,1929604907
srb,irl,11078499
ltu,irl,120149973
lux,irl,105158023
lva,irl,59092435
mda,irl,214834
mkd,irl,1311072
